link,country,year,name,text
https://www.constituteproject.org/constitution/Algeria_2016?lang=en,Algeria,2016,"Algeria 1989 (reinst. 1996, rev. 2016) Constitution - Constitute",
https://www.constituteproject.org/constitution/Armenia_2015?lang=en,Armenia,2015,Armenia 1995 (rev. 2015) Constitution - Constitute,
https://www.constituteproject.org/constitution/Azerbaijan_2016?lang=en,Azerbaijan,2016,,
https://www.constituteproject.org/constitution/Bahrain_2017?lang=en,Bahrain,2017,Bahrain 2002 (rev. 2017) Constitution - Constitute,
https://www.constituteproject.org/constitution/Belgium_2014?lang=en,Belgium,2014,Belgium 1831 (rev. 2014) Constitution - Constitute,
https://www.constituteproject.org/constitution/Bolivia_2009?lang=en,Bolivia,2009,Bolivia (Plurinational State of) 2009 Constitution - Constitute,
https://www.constituteproject.org/constitution/Bulgaria_2015?lang=en,Bulgaria,2015,Bulgaria 1991 (rev. 2015) Constitution - Constitute,
https://www.constituteproject.org/constitution/Canada_2011?lang=en,Canada,2011,,
https://www.constituteproject.org/constitution/Croatia_2013?lang=en,Croatia,2013,Croatia 1991 (rev. 2013) Constitution - Constitute,
https://www.constituteproject.org/constitution/Cuba_2018D?lang=en,Cuba_D,2018,Cuba 2018 Constitution - Constitute,
https://www.constituteproject.org/constitution/Dominican_Republic_2015?lang=en,Dominican_Republic,2015,Dominican Republic 2015 Constitution - Constitute,
https://www.constituteproject.org/constitution/Finland_2011?lang=en,Finland,2011,Finland 1999 (rev. 2011) Constitution - Constitute,
https://www.constituteproject.org/constitution/German_Federal_Republic_2014?lang=en,German_Federal_Republic,2014,Germany 1949 (rev. 2014) Constitution - Constitute,
https://www.constituteproject.org/constitution/Guatemala_1993?lang=en,Guatemala,1993,Guatemala 1985 (rev. 1993) Constitution - Constitute,
https://www.constituteproject.org/constitution/Jordan_2016?lang=en,Jordan,2016,Jordan 1952 (rev. 2016) Constitution - Constitute,
https://www.constituteproject.org/constitution/Nepal_2016?lang=en,Nepal,2016,Nepal 2015 (rev. 2016) Constitution - Constitute,
https://www.constituteproject.org/constitution/Russia_1918?lang=en,Russia,1918,Russian Federation 1918 Constitution - Constitute,
https://www.constituteproject.org/constitution/Samoa_2017?lang=en,Samoa,2017,Samoa 1962 (rev. 2017) Constitution - Constitute,
https://www.constituteproject.org/constitution/Socialist_Republic_of_Vietnam_2013?lang=en,Socialist_Republic_of_Vietnam,2013,Viet Nam 1992 (rev. 2013) Constitution - Constitute,
https://www.constituteproject.org/constitution/Sudan_2005?lang=en,Sudan,2005,Sudan 2005 Constitution - Constitute,
https://www.constituteproject.org/constitution/Surinam_1992?lang=en,Surinam,1992,,
https://www.constituteproject.org/constitution/Turkey_2017?lang=en,Turkey,2017,Turkey 1982 (rev. 2017) Constitution - Constitute,
https://www.constituteproject.org/constitution/United_Kingdom_2013?lang=en,United_Kingdom,2013,,
